"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.217460953143773,0.357629154985983,279.314864635468
150,0.2,0.317263452690538,0.479895979195839,339.076918840408
200,0.2,0.446557245796637,0.601281024819856,403.871564626694
250,0.2,0.529,0.683,456.889079809189
300,0.2,0.6052,0.7514,508.486107587814
350,0.2,0.695895895895896,0.815815815815816,572.239482879639
400,0.2,0.7642,0.8742,624.997939348221
450,0.2,0.796159231846369,0.899579915983197,681.94589805603
500,0.2,0.8396,0.9312,740.647778272629
550,0.2,0.8758,0.9442,800.988769054413
100,0.4,0.221109553374725,0.300821149609453,281.752985954285
150,0.4,0.316726690676271,0.397759103641457,338.36207318306
200,0.4,0.444466680008005,0.517310386231739,397.663942098618
250,0.4,0.5252,0.5844,454.066798210144
300,0.4,0.616123224644929,0.665533106621324,511.034540653229
350,0.4,0.693015809485691,0.731438863317991,574.368244171143
400,0.4,0.7658,0.7988,621.694603204727
450,0.4,0.799159831966393,0.831766353270654,683.787577629089
500,0.4,0.8406,0.8786,740.565471887589
550,0.4,0.880352140856343,0.892957182873149,798.835335016251
100,0.6,0.227490996398559,0.281112444977991,282.928152799606
150,0.6,0.324794876926156,0.366219731839103,336.952541828156
200,0.6,0.456182472989196,0.47859143657463,401.065222978592
250,0.6,0.5404,0.5486,453.187481403351
300,0.6,0.6276,0.6276,513.67549943924
350,0.6,0.704622773664199,0.695617370422253,572.368112802505
400,0.6,0.784113645458183,0.771108443377351,618.526251554489
450,0.6,0.807961592318464,0.80376075215043,685.03986954689
500,0.6,0.8544,0.8496,741.287506341934
550,0.6,0.8892,0.865,796.865701436996
